trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-121.36058277245029,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-30.826020252631984,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,6,-122.38024242560216,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,17,2.963514327332037,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-99.13465235819884,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-98.5063061517282,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-100.03325232029975,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-109.61369546883124,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-63.61261161344372,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-23.401267392752832,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-95.27404484815497,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,-88.07261125533819,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-35.072472308926436,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,9,-3.7860306505333083,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,8,-66.78374520150787,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-31.089966620534916,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-79.50721350739222,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,6.625951601303407,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-64.92389238587758,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,-19.058352098459572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,4,-43.57560389652898,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,4,14.051356183723048,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-93.21371014482884,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,12,17.467609275116263,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,16,7.655550562317073,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,17,-7.174535923383853,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,4,-80.53827613161457,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,0,17.161589181059902,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,3,-81.48762922968143,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",30,8,0.4388931369602098,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
