trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-154.73162450186365,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-134.76186543370403,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,16,-30.24634530232354,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,7,-55.860946073472476,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-77.53572184287333,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-166.57185346174833,"{0: 7, 1: 1, 2: 9, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-74.27042859839429,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-0.07724869153537117,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-35.090869967018385,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-90.48505754277693,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-203.42259147451156,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-140.5655840961352,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,14,-0.7748899202836093,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-85.92229663306613,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-68.28986964037847,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,13,-105.2258402859358,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-106.6308764783666,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-110.58485920768307,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
