trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-638.321500093129,"{0: 81, 1: 8, 2: 21, 3: 5, 4: 10}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-52,-401.0402492246894,"{0: 44, 1: 5, 2: 14, 3: 3, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-329.6513425134543,"{0: 83, 1: 12, 2: 20, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,-100,-392.279375128418,"{0: 95, 1: 8, 2: 17, 3: 4, 4: 6}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-597.4716038371994,"{0: 75, 1: 10, 2: 21, 3: 6, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-586.1834041515482,"{0: 74, 1: 12, 2: 21, 3: 5, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-755.1927304880035,"{0: 77, 1: 11, 2: 19, 3: 5, 4: 13}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-20,-271.9080295048112,"{0: 24, 1: 6, 2: 10, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-34,-268.8369173763322,"{0: 37, 1: 4, 2: 13, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-100,-568.4252950097707,"{0: 84, 1: 10, 2: 25, 3: 3, 4: 8}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-623.6633275641005,"{0: 72, 1: 9, 2: 31, 3: 8, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-520.540586660249,"{0: 72, 1: 8, 2: 33, 3: 1, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-95,-498.2131151337911,"{0: 78, 1: 13, 2: 16, 3: 6, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-23,-323.4229288973524,"{0: 22, 1: 3, 2: 12, 3: 1, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,-28,-338.8116793561827,"{0: 35, 1: 5, 2: 18, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-65,-336.871598435437,"{0: 60, 1: 3, 2: 21, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-528.5386186310793,"{0: 79, 1: 10, 2: 20, 3: 2, 4: 9}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-589.4418277962169,"{0: 72, 1: 16, 2: 27, 3: 3, 4: 7}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-3,-130.23659835434077,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-58,-377.77204895412734,"{0: 48, 1: 8, 2: 15, 3: 1, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-653.0355032192393,"{0: 66, 1: 10, 2: 30, 3: 7, 4: 7}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-70,-466.8357521824662,"{0: 49, 1: 10, 2: 21, 3: 6, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-47,-478.2904634367407,"{0: 34, 1: 10, 2: 18, 3: 5, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-100,-618.754870241654,"{0: 75, 1: 15, 2: 21, 3: 6, 4: 8}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-791.6901933653373,"{0: 67, 1: 17, 2: 18, 3: 5, 4: 13}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,-58,-333.7995500649018,"{0: 56, 1: 8, 2: 16, 3: 5, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-8,-91.25916919010527,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-589.2760957066365,"{0: 74, 1: 12, 2: 21, 3: 5, 4: 8}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-774.2706673270033,"{0: 55, 1: 19, 2: 32, 3: 6, 4: 8}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,-100,-534.626097690794,"{0: 87, 1: 15, 2: 19, 3: 8, 4: 6}",0
